n01797886_8416,n01807496_6388
n02002556_1870,n02002724_1391
n02486261_19434,n02493509_16100
n02113023_478,n02113186_388
n02823428_726,n04591713_607
n02099712_6520,n04517823_2534
n02808440_5872,n04493381_3536
n01630670_7533,n01632458_1561
n03534580_11643,n03866082_4942
n02978881_698,n04392985_384
n02395406_29079,n02396427_17247
n03724870_417,n04229816_147
n03773504_2912,n04008634_17547
n02114712_18675,n02114855_4639
n01871265_772,n02504458_12175
n02093991_5264,n02098105_4565
n03100240_13967,n04285008_13865
n02395406_6417,n02396427_3696
n03680355_18179,n04350905_114223
n02492660_4551,n02494079_3522
n02979186_12807,n04392985_9050
n02504013_1017,n02504458_1204
n02002556_2350,n02002724_1744
n02492660_4508,n02493793_4358
n03085013_1984,n03180011_710
n03782006_3597,n03793489_3172
n01753488_4752,n01755581_6095,n01756291_7571
n02113023_6390,n02113186_5402
n03980874_9495,n04599235_11467
n03642806_4997,n03832673_13262
n01630670_1616,n01632458_1394
n03710637_6269,n03710721_13290
n03773504_802,n04008634_728
n03773504_15369,n04008634_15543
n03782006_4527,n04152593_25203
n07717410_6611,n07717556_12578
n02412080_15866,n02415577_8072
n01737021_13282,n01751748_14070
n02443484_14289,n02444819_12065
n02804610_3393,n03838899_842
n01689811_12113,n03794056_29030
n02096294_2590,n02097658_7607
n03085013_8148,n03793489_9918
n02804610_8352,n03372029_18400
n13037406_1737,n13052670_3097
n02086079_11176,n02086240_6371
n03017168_38565,n03447721_22380
n02086240_5529,n02098413_8889
n01797886_7204,n01807496_6054
n02106030_99,n02106166_45
n01797886_10622,n01807496_8822
n01675722_2441,n01685808_6649
n02120505_22542,n02441942_5412
n02981792_17636,n04483307_10277
n02395406_7949,n02396427_4644
n02089867_3108,n02089867_3177
n01737021_698,n01751748_630
n03259280_3630,n04596742_23366
n01682714_9650,n01693334_8387
n01797886_15544,n01807496_514
n02484975_6321,n02493509_10681
n02107683_6408,n02107908_4221
n01729977_14112,n01739381_4498
n04254120_378,n04476259_2295
n02783161_7,n03388183_4437
n01871265_2235,n02397096_2774
n01753488_7042,n01756291_11063
n02493509_7791,n02493793_9798
n01797886_11524,n01807496_9600
n01753488_10167,n01756291_16238
n03141823_7584,n03930313_16115
n02979186_13465,n04392985_2308
n02930766_52201,n03930630_19646
n02669723_1887,n03787032_1839
n02988304_1966,n04392985_1368
n02708093_375,n04548280_1303
n03131574_72871,n03788365_24383
n03197337_3138,n04328186_9265
n07734744_1164,n12998815_2781
n03958227_4102,n04548362_17671
n02119789_4272,n02120505_6949
n02443114_11466,n02444819_781
n02395406_7244,n02396427_4207
n02088632_4360,n02088632_600
n03017168_32495,n03447721_18866
n02107908_8362,n02108000_3731
n02107908_11580,n02108000_6725
n02165456_5399,n02169497_1122
n02804610_17957,n03372029_17079
n03773504_23782,n04008634_22478
n02493509_12716,n02500267_11992
n02165105_945,n02167151_1179
n02442845_31911,n02447366_1096
n03742115_13468,n03937543_4723
n02895154_189,n03146219_93
n02895154_12486,n03146219_5759
n03691459_40320,n04404412_1759
n03710637_15887,n03710721_30881
n03970156_43150,n15075141_38135
n02403003_8750,n03868242_2503
n01797886_27739,n01798484_13768
n03933933_18973,n04311004_3173
n03804744_25293,n04153751_10849
n02115913_4119,n02115913_750
n04552348_16649,n04592741_2871
n01630670_4962,n01631663_6119
n02441942_20846,n02443114_30915
n04152593_29477,n04404412_8851
n01978287_60,n01978455_65
n03773504_1194,n04008634_16036
n02094114_3357,n02097047_5138
n02107683_3424,n02107908_2219
n02493509_3758,n02494079_3715
n03085013_20914,n03179701_7847
n02094114_1462,n02094258_1222,n02096437_1391
n01797886_5453,n01807496_4587
n01682714_7659,n01693334_6591
n01630670_4880,n01631663_5903
n03773504_17355,n04008634_17212
n01685808_2102,n01756291_6865
n01753488_10970,n01756291_18021
n13044778_2702,n13052670_3390
n03496892_2948,n04428191_2962
n03773504_5182,n04008634_12807
n03109150_28298,n07892512_953
n02090622_3956,n02092002_2936
n02085782_168,n02086646_156
n03773504_4105,n04008634_18463
n02093256_4090,n02093428_5635
n03710637_11522,n03710721_23329
n01729977_15320,n01739381_5635
n04004767_13047,n04152593_35306
n03710637_6009,n03710721_12756
n01729977_8363,n01739381_2731
n02894605_885,n09428293_31071
n03630383_3081,n04209133_3154
n03710637_4262,n03710721_9071
n02124075_2964,n02125311_21498
n01514668_11693,n01514859_6037
n02085936_13709,n02113712_3727
n02395406_11098,n02396427_6543
n01753488_8011,n01756291_12607
n02090622_2557,n02091831_3387
n01728920_1869,n01729322_2505
n02412080_1252,n02415577_1514
n02804610_15442,n03838899_26603
n02119022_11196,n02120079_12350
n03773504_8130,n04008634_21637
n01667114_2755,n01667778_6788
n01753488_2814,n01756291_4466
n03633091_17069,n04597913_5314
n01755581_260,n01756291_343
n02107908_9644,n02108000_4882
n02113023_3621,n02113186_2598
n02808440_5873,n04493381_3538
n02099601_5795,n02099712_5799
n01737021_4472,n01744401_14364
n02123159_4270,n02129604_9408
n02113023_5660,n02113186_4784
n02749479_4966,n04090263_9413
n01491361_3186,n10565667_5244
n02823428_1334,n04591713_1160
n02979186_4674,n04392985_3431
n01797886_17595,n01807496_14489
n03710637_334,n03710721_770
n03179701_5497,n03782006_23620,n04152593_52531
n03782006_1644,n04152593_21046
n03250847_2708,n04311174_2217
n03782006_10707,n04152593_33872
n01753488_10834,n01756291_17345
n02107574_5404,n02108000_6088
n02226429_21199,n02259212_882
n02086646_1445,n02086646_422
n02114712_12444,n02120505_12122
n03535780_9426,n03888605_7819
n02106030_692,n02106166_285
n07749582_11101,n07753592_13992
n07734744_2422,n13054560_2143
n01629819_2813,n01630670_7336
n01729322_11181,n01756291_13034
n03249569_9589,n03250847_9347
n02978881_5240,n02979186_13763
n02123159_6741,n02129604_17265
n03773504_20872,n04008634_20115
n03933933_16986,n04311004_46
n01797886_465,n01807496_1935
n02395406_7,n02396427_4
n01797886_10044,n01807496_8348
n03710637_3162,n03710721_6777
n02895154_40169,n03146219_22379
n02107908_12255,n02108000_7330
n02804610_940,n03838899_48359
n02097474_758,n02097658_998
n02113023_11940,n02113186_2561
n02823428_14196,n04591713_17048
n03710637_7938,n03710721_8554
n02087394_622,n02100583_9880
n02107574_3553,n02108000_6462
n01740131_6288,n01756291_10727
n03220513_5467,n04589890_1740
n03529860_14563,n04404412_24300
n01744401_880,n01756291_1184
n02119022_32109,n02119789_17997
n02951358_11607,n03873416_14088
n01797886_1273,n01807496_1081
n02231487_5635,n02236044_6821
n02107908_11289,n02108000_6460
n03724870_15570,n04229816_609
n01685808_8281,n01689811_9517
n03710637_12779,n03710721_25485
n01753488_14259,n01756291_5972
n01630670_6186,n01631663_8366
n03710637_4740,n03710721_10045
n01978287_546,n01981276_868
n02099712_818,n02437616_1593
n02895154_19823,n03146219_9013
n02256656_24683,n02259212_2297
n03676483_7894,n04116512_8643
n13044778_1612,n13052670_1965
n03075370_1751,n04125021_2915
n02895154_38391,n03146219_4898
n02093256_5259,n02093428_7167
n02687172_33053,n03216828_14416
n02114712_3992,n02114855_3534
n03967562_7691,n04252225_7344
n02112350_8161,n04409515_1192
n12144580_9096,n13133613_15811
n04596742_6636,n04597913_2705
n01685808_4393,n01689811_2956
n02109961_1264,n02114548_876
n03180011_21650,n03793489_7512
n02113712_3481,n02113799_3745
n02137549_1123,n02441942_1294
n02093991_9420,n02098105_9232
n02114548_1506,n02115913_438
n02395406_17842,n02396427_10541
n02749479_3913,n04090263_7429
n04591713_454,n07892512_1380
n02109961_5924,n02110185_4115
n03710637_3045,n03710721_3846
n01737021_18527,n01740131_11424
n02114712_115,n02115913_34
n01728572_650,n01728920_4159
n02978881_7065,n02979186_14279
n03773504_19150,n04008634_18682
n03063599_4257,n03063689_1992
n03710637_11306,n03710721_22920
n02493509_6523,n02494079_2616
n02102040_2702,n02102177_1356
n02095889_3042,n02096437_2093
n02107908_10418,n02108000_5595
n03710637_8746,n03710721_18674
n01514668_14100,n01514859_1421
n02096294_1642,n02097658_4715
n02093754_334,n02094258_181
n02441942_23103,n02443114_2619
n03376595_3199,n04286575_26597
n03773504_5730,n04008634_19754
n01796340_4181,n01798484_11345
n03710637_641,n03710721_1439
n03085013_22698,n04152593_63603
n02097130_5856,n02097209_4225
n03773504_6309,n04008634_4539
n07745940_10255,n07753592_10249
n02091032_263,n02096585_261
n01773157_7368,n01773797_7700
n03710637_5424,n03710721_11511
n03710637_3170,n03710721_6802
n02027492_2893,n02033041_5839
n07717410_574,n07717556_761
n03535780_5863,n03888605_4795
n01871265_5546,n02504458_8923
n03773504_22087,n04008634_987
n02395406_29172,n02396427_17312
n02669723_5178,n03787032_5005
n02107683_3059,n02107908_1961
n02107574_3688,n02107908_8729,n02108000_4072
n03782006_42903,n04152593_78074
n03000247_46038,n04141327_11481
n01797886_1414,n01807496_1203
n02094114_313,n02094258_263
n02102318_479,n02102973_147
n01753488_8738,n01756291_4848
n01641577_14669,n01737021_9852
n02441942_23604,n02442845_25598
n01514668_15305,n01514859_2850
n02095314_394,n02097298_1822
n01729977_18749,n01739381_4986
n02090721_2417,n02092002_2596
n02412080_1056,n02415577_1260
n03777754_8427,n04009552_7776
n01740131_3290,n01756291_10742
n13037406_3357,n13052670_6006
n01978287_12579,n01981276_20598
n02094114_4018,n02094258_3297
n01753488_26406,n01756291_31564
n01773157_3714,n01773797_3930
n03782006_33363,n04152593_65459
n03259280_6592,n07873807_19530
n03933933_14229,n04311004_1393
n03710637_3555,n03710721_7574
n02093647_4965,n02102973_5990
n04557648_1586,n04560804_1656
n02443114_5393,n02443484_4727
n03773504_12157,n04008634_24742
n02169497_3664,n02177972_5526
n01682714_14103,n01693334_12364
n02120505_12974,n02125311_23860
n01753488_10838,n01756291_17362
n02422699_3964,n02423022_3458
n01641577_9709,n01644373_8066
n07716906_10313,n07717410_11561
n02102318_9926,n07693725_6688
n02100583_9338,n04162706_3112
n02490219_4151,n02493509_10181
n01797886_2056,n01807496_1736
n02412080_6236,n02415577_7742
n03782006_12809,n04152593_37126
n03018349_7388,n03201208_27557
n01744401_2637,n01756291_6663
n03710637_16001,n03710721_1045
n02769748_35259,n03709823_9193
n01729322_6759,n01756291_10479
n01755581_12504,n01756291_15440
n01728920_14639,n01735189_11170
n02002556_8635,n02002724_1310
n03697007_7664,n04428191_19648
n02119022_28,n02119789_1713
n03443371_2634,n07892512_28119
n02979186_14793,n04392985_9462
n03773504_16370,n04008634_16385
n02089867_3688,n02090379_5078
n02114367_16770,n02114548_47
n03773504_13199,n04008634_25556
n03461385_25857,n07742313_4929
n02669723_523,n03787032_529
n02128385_545,n02128757_15559
n01728572_9558,n01728920_8721
n02089867_3965,n02090379_5447
n03710637_5283,n03710721_1903
n02114367_18130,n02114855_19675
n03424325_18103,n03868863_9150
n01734418_9009,n01755581_12018
n01667778_23387,n01669191_18022
n02483362_12211,n02483708_4451
n02094258_4775,n02096294_8047
n02484975_6195,n02493509_10484
n02988304_8214,n04392985_7754
n02097047_2895,n02097209_1515
n03773504_537,n04008634_15776
n02895154_37983,n03146219_4893
n12144580_488,n13133613_854
n01739381_2737,n01749939_11808
n03633091_15048,n04591713_4030,n04597913_3134
n03710637_4546,n03710721_9645
n02804610_24045,n03838899_39022
n03733131_3615,n03976657_45540
n01871265_1774,n02504013_812
n03372029_45998,n03838899_32216
n01753488_11040,n01756291_18304
n02165456_5571,n02169497_1160
n04041544_17473,n04074963_10841
n02749479_2338,n04090263_4477
n07614500_3291,n07836838_819
n03125729_7503,n03938244_29287
n01740131_10130,n01756291_17383
n02395406_27921,n02396427_16541
n02002556_2925,n02002724_2194
n03782006_1715,n04152593_21134
n02749479_1695,n04090263_3303
n02441942_23200,n02442845_8866,n02443114_12567
n03690938_11894,n04357314_18041
n02094114_2124,n02094258_1757
n02676566_9181,n03272010_10575
n03933933_32415,n04311004_996
n02979186_3119,n04392985_2237
n01734418_3679,n01740131_15328
n02094114_7290,n02101388_10324
n03404251_20914,n03929855_6240
n02101388_1066,n02101556_1320
n02808440_5246,n04493381_3166
n02101556_3239,n02102480_1593
n01797886_11167,n01807496_5838
n03297495_2387,n07920052_14836
n02087046_3891,n02094433_2789,n02096294_1396
n02107683_5397,n02107908_3531
n02167151_4116,n02169497_4378,n02172182_4585
n02988304_9639,n04041544_27180
n02107908_10607,n02108000_5775
n02395406_11984,n02396427_7023
n02115913_3818,n02119022_13218
n03761084_46900,n04442312_32519
n03196217_1814,n03197337_2081
n02979186_7531,n04392985_5492
n02093859_1384,n02095570_2618
n02090721_596,n02093991_2755
n02093754_6073,n02109961_16165
n02097047_7179,n02097209_4410
n02097130_3201,n02097209_2182
n02395406_22287,n02396427_5074
n03710637_896,n03710721_1984
n01797886_8457,n01807496_7051
n02795169_28142,n04049303_10950
n02441942_23104,n02443114_12424
n07717410_3111,n07875152_3029
n04264628_776,n04505470_2010
n02643566_4000,n09256479_3894
n02412080_1040,n02415577_1236
n02484975_5229,n02486261_7200
n02442845_22430,n02447366_22967
n02412080_16908,n02415577_15495
n02085936_16158,n02086240_8126
n03534580_1940,n03866082_845
n02233338_14837,n03680355_8097
n02441942_23204,n02443114_35208
n03633091_1273,n04597913_673
n03710637_12951,n03710721_25744
n02895154_15680,n03146219_7131
n01753488_2476,n01756291_3978
n02441942_23655,n02443484_335
n02123045_6909,n02123159_4269
n03775546_10808,n04597913_6353
n02113624_6270,n02113799_4913
n01978287_9022,n01981276_19211
n03017168_29394,n03447721_17106
n02749479_6802,n04090263_12788
n03773504_17259,n04008634_17132
n03637318_23237,n04380533_492
n01729322_4044,n01753488_3987
n02264363_9047,n02268443_46171
n02395406_3458,n02396427_1974
n02483362_7667,n02483708_4597
n01797886_6029,n01807496_14441
n07716358_16719,n07718472_14741
n04264628_5817,n04505470_142
n01773549_8471,n01775062_15203
n03710637_1503,n03710721_3292
n02988304_8250,n04392985_8782
n03773504_9609,n04008634_9592
n01796340_1549,n01798484_1101
n03733805_7915,n04131690_8780
n02999410_3079,n03874599_2603
n02395406_10439,n02396427_6110
n07711569_3397,n07871810_8266
n02483362_8329,n02483708_3039
n01978287_7325,n01981276_12416
n12144580_14110,n13133613_27765
n02443114_5151,n02443484_4524
n02412080_16665,n02415577_20852
n03773504_3647,n04008634_3490
n03706229_11491,n03706229_204
n03793489_6688,n04152593_29489
n01675722_4354,n01685808_5830
n02815834_3362,n03733805_24937
n02114548_3492,n02120079_8954
n02395406_7896,n02396427_4609
n03000134_4185,n04604644_1558
n02089867_1068,n02090379_1513
n03633091_16495,n04263257_6827
n04040759_23525,n04265275_9325
n02979186_2265,n04392985_1597
n02093647_4963,n02095570_8204
n03271574_1226,n04265275_3881
n02002556_149,n02002724_125
n03196217_3689,n03197337_4276
n02808440_28207,n04493381_7697
n02097047_5627,n02097209_3403
n02927161_10199,n03461385_26685
n02395406_10272,n02396427_6004
n02808440_22419,n04493381_11320
n01753488_8538,n01756291_13484
n02114712_35,n02114855_24659
n02165105_10136,n02167151_8222
n02119022_7251,n02119789_3827
n02091032_12241,n02109047_7803
n02090622_10565,n02113186_13331
n04037443_2691,n04285008_1277
n02895154_28506,n03146219_5770
n02107683_6801,n02107908_4452
n02107908_11649,n02108000_6793
n01740131_10583,n01749939_269
n02412080_23440,n02415577_29466
n01753488_523,n01756291_915
n03710637_8803,n03710721_204
n13037406_3277,n13052670_5869
n01797886_17468,n01807496_14392
n03733281_11795,n04355338_4814
n13044778_915,n13052670_1158
n02107908_10917,n02108000_6063
n02808440_6178,n04493381_8740
n01797886_12068,n01807496_10039
n03710637_6058,n03710721_17978
n02412080_5012,n02415577_6205
n03773504_3660,n04008634_18088
n03782006_134,n04152593_18921
n01682714_8528,n01693334_7405
n03649909_21564,n04428191_12929
n02099429_1272,n02105056_2760
n01729977_11271,n01739381_730
n02443114_3042,n02443484_2686
n03126707_10788,n03532672_26995
n03976657_23097,n04458633_7667
n03782006_8995,n04152593_31503
n02091467_5964,n02110185_12188
n02167151_9510,n02174001_11393
n01755581_6993,n01756291_8622
n02769748_38783,n03709823_17274
n02114712_15583,n02114855_28922
n02093991_7984,n02098105_7595
n01770081_4122,n01773549_1521
n02109961_16592,n02110185_8401
n02979186_6137,n04392985_4504
n03041632_32350,n07717556_10254
n02104365_9552,n02105056_2194
n01773157_2215,n01773549_4731
n02486261_12018,n02493509_9658
n02979186_13545,n04392985_2460
n01630670_5331,n01631663_6601
n02107908_11057,n02108000_6224
n02422106_421,n02422699_1019,n02423022_950
n02226429_22269,n02229544_12349
n02002556_8585,n02002724_1875
n02088094_4397,n02091831_4384
n03887697_8656,n15075141_26031
n03983396_2054,n04525305_10429
n02119789_1806,n02120505_2917
n02441942_5851,n02442845_5498
n03908714_4826,n04116512_19150
n03710637_5908,n03710721_12553
n02128385_10108,n02128757_10230
n02492035_9990,n02492660_7815
n02002556_1849,n02002724_1383
n03216828_422,n03933933_362
n02978881_14134,n02979186_10798
n01729977_10293,n01749939_3834
n02412080_19,n02415577_24
n02066245_675,n02071294_1821
n01797886_1953,n01807496_1645
n03443371_6673,n07892512_12947
n02119022_13827,n02120505_11950
n02395406_2721,n02396427_1599
n03710637_6824,n03710721_14434
n03017168_19513,n03447721_11344
n02113624_4297,n02113712_3039
n02895154_1423,n03146219_11639
n12985857_4662,n13052670_6574
n03388043_6891,n03443371_162
n03773504_1066,n04008634_1013
n02317335_11735,n02607072_2959
n01797886_17494,n01807496_14415
n01753488_5442,n01756291_8564
n02093991_273,n02098105_235
n02097298_7926,n02098286_3071
n03710637_8610,n03710721_18417
n01514859_11830,n01807496_345
n03000134_771,n04465501_1596
n03775546_8805,n07860988_20318
n02708093_8032,n04548280_18913
n02514041_4940,n02641379_8885
n02815834_6004,n03733805_12683
n02342885_5414,n07714990_3420
n01682714_170,n01693334_138
n03950228_19197,n04560804_6539
n01753488_4221,n01756291_6673
n01753488_12228,n01756291_2098
n01978455_431,n01981276_1751
n01753488_10824,n01756291_17287
n02669723_4420,n03787032_4289
n02483362_9656,n02483708_3541
n03179701_3024,n03691459_40945
n03706229_4943,n04355338_16727
n02895154_6033,n03146219_2820
n03773504_12559,n04008634_8877
n01984695_5574,n01985128_4320
n03908618_12902,n04118776_36511
n02823428_1186,n03983396_1746
n01871265_1033,n02504458_1680
n01797886_11382,n01807496_9478
n03770679_9790,n03977966_28347
n01797886_10046,n01807496_8350
n01682714_16657,n01693334_14544
n01753488_6008,n01756291_9433
n07711569_4434,n07871810_10762
n03017168_36033,n03447721_20888
n01629819_25470,n01632458_8549
n02412080_9100,n02415577_11337
n02978881_10388,n02979186_15409
n03196217_10790,n03197337_12333
n02804610_16431,n03838899_27962
n03710637_7005,n03710721_14833
n03710637_685,n03710721_1587
n01797886_2017,n01807496_1701
n03908618_17274,n04116512_25056
n02403003_736,n03868242_2040
n02979186_26451,n04392985_14952
n02979186_4344,n04392985_3197
n02364673_6849,n03124170_4046
n03773504_4876,n04008634_19030
n04270147_14342,n04597913_2399
n01983481_20334,n01984695_73144
n02093256_3257,n02093428_4438
n02441942_17408,n02447366_11254
n02979186_12305,n04392985_8946
n02395406_9687,n02396427_5652
n02749479_1024,n04090263_2048
n03063689_6106,n03297495_3863
n03782006_36047,n04152593_68954
n02441942_12445,n02443484_14518
n07734744_966,n13054560_874
n02100236_613,n02100583_1499
n02090622_1753,n02091831_2285
n07747607_14286,n07753592_10196
n02093991_3524,n02098105_3045
n03017168_922,n03447721_528
n01797886_2662,n01807496_3336
n02089867_8173,n03803284_5234
n02107908_12558,n02108000_7609
n03110669_84974,n04141076_42144
n02091134_3750,n02091831_2688
n03782006_3748,n04152593_24045
n02094114_290,n02105505_2347
n03250847_16617,n03929660_6432
n03017168_35006,n03447721_20299
n02093991_2359,n02094433_3686
n02099429_2263,n02099429_3513
n03404251_7850,n03770439_12420
n03710637_10581,n03710721_2183
n12144580_41555,n13133613_74898
n02326432_5194,n02442845_30374
n02795169_21426,n04049303_4486
n02492660_1087,n02493793_1088
n02412080_9063,n02415577_6171
n02403003_4314,n03868242_4697
n01491361_3336,n10565667_5469
n01753488_5616,n01756291_12388
n01797886_2830,n01807496_8978
n02441942_6988,n02443114_9297
n03970156_4054,n15075141_6671
n03782006_44869,n04152593_80676
n01753488_10804,n01756291_17263
n01978455_1908,n01986214_3682
n02978881_11454,n02979186_15568
n03450230_21173,n10148035_497
n03085013_18843,n03180011_7102
n01753488_9258,n01756291_14694
n02113624_1436,n02113712_1006
n01755581_12060,n01756291_14870
n02490219_7439,n02493509_17244
n03782006_11347,n04152593_34869
n01729322_1436,n01753488_1399
n07614500_41997,n07836838_10259
n03710637_2333,n03710721_5060
n02441942_24310,n02442845_26431,n02443114_37055
n03782006_2766,n04152593_22613
n02443114_8230,n02443484_5866
n04008634_25517,n04389033_29009
n02105251_3115,n03803284_5772
n02504013_874,n02504458_988
n02895154_35869,n03146219_19046
n02441942_5130,n02443484_6073
n03017168_51062,n03447721_42802
n02099429_1612,n02099712_3752
n03782006_10493,n04152593_33580
n02804610_27143,n03838899_43824
n01917289_705,n09256479_8401
n02106030_7931,n02106166_3274
n02090721_6022,n02092002_6488
n02096294_11768,n02097474_9629
n02999410_157,n03000247_298
n02978881_12535,n02979186_15889
n03476991_7355,n03742115_8371
n02951585_21515,n03109150_15576
n02988304_9315,n04392985_6518
n02094114_8117,n02095570_11196
n02978881_8525,n02979186_14721
n02088466_1899,n02089078_5461
n02168699_2333,n02169497_3095
n02093256_720,n02093428_969
n02256656_4177,n04589890_1602
n02114712_10343,n02114855_16814,n02116738_8377
n02113712_230,n02113799_254
n02085936_14028,n02086240_7076
n02097209_4042,n02106382_4597
n04560804_472,n04579145_122
n04317175_4577,n04376876_10165
n03710637_9742,n03710721_2279
n02727426_22436,n03530642_20027
n02107908_11493,n02108000_6622
n03710637_5698,n03710721_12106
n03782006_14004,n04152593_38873
n02097047_4836,n02097209_2960
n02096294_2392,n02097658_6978
n02088632_1206,n02089078_1183
n03825788_113513,n03937543_4497
n03642806_2016,n03832673_6113
n01729977_14975,n01749939_6101
n01729977_7447,n01739381_3344
n02701002_5562,n04336792_4588
n02094114_1103,n02094258_933
n03630383_10368,n04317175_15239
n01739381_3157,n01749939_4860
n02441942_14367,n02443114_1390
n02795169_13061,n04049303_8838
n07716906_11364,n07717556_5719
n03773504_6886,n04008634_3069
n03724870_3386,n04229816_4738
n02097298_10305,n02802426_950
n02441942_16895,n02442845_16762
n02788148_47859,n03065424_9372
n01797886_7608,n01807496_6354
n04606251_7262,n10565667_3909
n02437312_17346,n03803284_1743
n02093991_3644,n02096294_2786
n03180011_6241,n03782006_1128,n03793489_1013
n01797886_3436,n01807496_13714
n07734744_18664,n12998815_19774
n03742115_32225,n03937543_11284
n02113712_590,n03832673_13607
n02109961_4621,n02110185_2076
n02807133_10867,n02837789_19103
n02999410_15357,n03000247_29633
n02107908_12082,n02108000_7198
n02974003_4098,n04037443_3413
n02102480_314,n02102973_403
n01682714_3060,n01693334_2676
n01797886_9931,n01807496_8254
n01728920_2814,n01740131_10537,n01744401_14090
n01729322_452,n01753488_447
n01728572_4577,n01930112_3206
n02090622_2644,n02091831_3510
n02093859_3209,n02093859_324
n02096585_1341,n02113186_1546
n02979186_15169,n04392985_5520
n02137549_6389,n02441942_7337,n02442845_6891
n02093647_2626,n02093647_2687
n01753488_4784,n01756291_7610
n02097047_7778,n02097209_2587
n02895154_17514,n03146219_7967
n03710637_3039,n03710721_6504
n01664065_29440,n01665541_11146
n04037443_21047,n04285008_10073
n02114548_5708,n02114712_1835,n02119022_2000
n03710637_7329,n03710721_15585
n02097130_5700,n02097209_3889
n01728920_20295,n01740131_20651
n01629819_5959,n01632458_2783
n02002556_783,n02002724_578
n01753488_4406,n01756291_7008
n02483362_1194,n02483708_2758
n01753488_2789,n01756291_4430
n02097130_5680,n02097209_362
n02095889_8274,n02096437_5862
n03773504_23779,n04008634_22475
n01773797_1623,n04275548_3382
n02808440_4026,n04493381_2438
n01797886_4918,n01807496_4127
n13044778_5018,n13052670_6323
n01978287_4265,n01981276_7084
n01755581_9615,n01756291_1612
n03450230_30447,n10148035_9008
n03710637_5789,n03710721_12304
n02101556_8100,n02102318_16369
n03782006_14331,n04152593_39364
n03773504_2886,n04008634_15351
n01753488_5065,n01756291_8038
n02093991_440,n02098105_376
n03075370_9582,n04125021_16032
n03452741_2077,n04515003_2092
n02123045_5827,n02123159_2559
n02749479_6512,n04090263_12263
n02441942_23027,n02447366_25684
n02978881_5654,n02979186_13873
n02979186_3556,n02988304_3665,n04392985_2589
n02808440_18694,n07892512_9306
n02099429_1653,n02102973_2330
n02441942_9024,n02443114_12014
n03773504_1182,n04008634_1141
n03773504_24612,n04008634_23148
n02412080_5496,n02415577_6776
n02104029_263,n02110341_772
n02090622_11466,n02091831_2714
n03476991_15175,n03916031_25458
n03637318_12056,n04380533_5900
n02107574_4516,n02108000_5053
n04118776_6350,n04238763_3991
n02395406_5891,n02396427_3427
n02979186_13444,n04392985_9172
n02113624_24,n02113712_9
n03773504_16242,n04008634_16277
n03710637_2409,n03710721_5217
n02094114_7123,n02094258_5867
n03773504_2256,n04008634_17050
n01797886_10196,n01807496_9515
n02114367_27451,n02114712_8608
n01981276_962,n01983481_21179
n03775546_8150,n04597913_4824
n02088466_22,n02089973_11
n02988304_2863,n04392985_8525
n01729977_2825,n01739381_962
n03602883_10396,n03793489_1528
n03017168_46146,n03447721_40330
n01978455_12362,n01980166_9914
n02441942_13086,n02442845_12287
n02493509_6494,n02494079_6470
n13037406_3528,n13044778_5038,n13052670_6351
n01797886_1805,n01807496_1529
n02979186_23516,n04392985_13259
n02107908_10578,n02108000_5746
n01753488_11136,n01756291_18764
n03633091_14239,n04263257_12414
n01667114_4967,n01669191_9999
n01753488_11100,n01756291_18587
n02106030_10139,n02106166_4167
n01514668_20459,n01514859_8508
n03782006_10589,n04152593_33708
n02094114_2991,n02094258_2460
n02088238_4410,n02123045_334
n02165105_4772,n02169497_13352
n02403003_11766,n03868242_2753
n02669723_1415,n03787032_1369
n02978881_6946,n02979186_14237
n01728920_13603,n01740131_14455
n02108422_5522,n02108551_6208
n01753488_11055,n01756291_18377
n03773504_7935,n04008634_21476
n03063689_234,n03297495_153
n02749479_3717,n04090263_7031
n02109961_11491,n02110063_9887
n02669723_6093,n03787032_5784
n02107574_4009,n02108000_4448
n03773504_10983,n04008634_5414
n03710637_8837,n03710721_283
n02808440_19411,n04493381_48549
n02107574_6222,n02107908_11984,n02108000_7105
n03085013_20825,n03832673_13916
n02979186_9811,n04392985_9710
n01795545_9837,n01798484_3873
n02978881_8343,n04392985_12822
n02669723_7344,n03787032_6879
n02442845_5029,n02444819_5311
n02895154_42984,n03146219_24593
n03773504_1273,n04008634_16315
n04557648_840,n04560804_917
n04037443_3152,n04285008_1478
n03733805_11266,n07930864_4546
n02395406_16588,n02396427_9792
n01729977_2588,n01739381_708
n02412080_16851,n02415577_21084
n03085013_2432,n03485407_735
n04040759_21843,n04265275_8885
n03773504_15172,n04008634_15381
n01630670_5942,n01631663_7307
n02690373_7387,n04592741_36342
n01630670_3940,n01631663_4835
n01753488_10879,n01756291_17608
n02749479_5236,n04090263_2586
n02097047_2377,n02098286_2317
n02091134_8498,n02110806_3005
n03527444_7949,n04086273_37864
n02412080_2170,n02415577_2693
n01797886_15290,n01807496_12623
n03773504_5327,n04008634_19446
n03976657_17754,n04067472_29525
n02669723_2473,n03787032_2424
n02441942_18527,n02442845_18853
n01755581_10116,n01756291_12378
n02107908_10647,n02108000_5811
n04264628_16742,n04505470_334
n02978881_3083,n04392985_1626
n02094114_424,n02095570_553,n02096294_365
n01797886_1074,n01807496_918
n03773504_3051,n04008634_3121
n02676566_8784,n03272010_9986
n07716906_2748,n07717556_4064
n02808440_45153,n04493381_8993
n01667114_1584,n01667778_3977
